39	noNegativeAnswer	 what is the recording of recording of TOPIC_ENTITY 's genre ?
297	1545 1161 1465	 what is the album of album of TOPIC_ENTITY 's track_list ?
793	1046 1408 1560 1157 412 353 1226 1246 670 552 492 1185 120 311 514 371 566 405 707 126 1400 1605 46 227 578 609 587 1591 298 844 422 1166 565 727 1509 785 1252 236 779 1179 541 1472 686 1448 570 1080 38 854 770 950 991 374 515 1192 449 1329 104 460 1498 723 1570 1410 234 1110 1508 469 755 1350 58 1398 1082 1459 1563 473 41 1312 614 1347 1371 1467 1516 1480 1460 464 1139 1598 221 576 1592 367 1529 663 281 928 14 278 9 1318 419 569 1118 490 1004 1418 1494 1487 1447 7 231 148 35 900 142 1585 784 1298 149 1482 307 1492 866 1300 266 1254 1453 1051 87 880 871 863 1010 1362 699 667 474 853 1092 579 1435 1151 733 1202 809	 what is the genre of TOPIC_ENTITY 's recording 's release ?
131	noNegativeAnswer	 what is the recording of TOPIC_ENTITY 's country 's recording ?
555	1525 393 49	 what is the recording of recording of TOPIC_ENTITY 's track_list ?
1142	1208 119 1581 1098 26 175 1425 828 942 1363 512 487 256 189 232 1579 153 636 632 700 677 857 349 836 956 831	 what is the book of canonical_version of TOPIC_ENTITY 's book ?
615	1348 59 1439 253 1287 536 502 834 1278 342 1258 1422 1089 772 1541 82 1514 1115 1361 217 892 862 1399 1336 1506 420 1272 461 736 790 424 872 1259 697 463 329 173 705 930 1052 212 330 108 650 292 910 1133 186 812 137 564 270 634 219 218 63 839 924 624 1260 534 429 189 301 134 284 1377 2 242 761 1158 619 1321 791 382 1590 1022 417 966 1533 206 279 901 968 1295 1209 612 268 1242 202 1163 1561 873 1154 1469 358 1528 766 865 1500 1090 261 92 777 44 1461 335 1207 601 50 989 1608 648 83 562 472 1131 71 183 1048 1171 1355 1359 437	 what is the recordings of TOPIC_ENTITY 's release 's recordings ?
392	818	 what is the recording of TOPIC_ENTITY 's track_list 's country ?
825	912 1502	 what is the album of TOPIC_ENTITY 's album 's artist ?
1581	1363 512 487 256 189 232 1579 153 636 632 700 1142 677 857 349 836 956 831 1208 119 1098 26 175 1425 828 942	 what is the book of TOPIC_ENTITY 's canonical_version 's canonical_version ?
320	591 660 666 704 1520 1366 1308 631 722 265 32 388 25 696 1038 1323 43 1009 1066 984 1352 1263 965 465 1588 1438 692 347 1167 233 327 889 1604 583 259 1211 172 136 28 1501 1222 475 1204 908 815 1328 888 1174 1342 239 843 1341 974 1390 54 1203 951 905 326 661 662 655 633 584 176 72 1285 394 1283 1284 1008 623 990 1030 1596 1431 499 229 1395 568 728 978 1401 65 732 1187 345 285 1471 1264 250 489 53 872 1200 463 1123 1293 1462 274 941 1536 1210 681 190 1133 1232 137 1144 1059 1152 255 457 226 1012 1497 608 1476 918 220 1415 1296 757 1444 1073 209 1523 317 925 524 216 84 817 45 339 1114 1351 1148 1294 647 99 782 373 1084 293 1205 588 1212 821 535 1314 248 372 594 362 1310 676 1162 443 125 953 1386 1564 1280 993 335 1304 50 1079 845 113 303 1140 837 369 1373 1488 1171 1085 437 51 1014 945 263 1045 509 486 1384 858 1417 1168 103 1470 483 97 833 1332 914 1442 354 1191 1405 1391 31 1326 1600 121 1047 328 1534 361 947 850 716 441	 what is the release of song of TOPIC_ENTITY 's song ?
1351	noNegativeAnswer	 what is the recording of recording of TOPIC_ENTITY 's recording ?
1134	noNegativeAnswer	 what is the tracks of tracks of TOPIC_ENTITY 's place_of_birth ?
1227	noNegativeAnswer	 what is the canonical_version of canonical_version of TOPIC_ENTITY 's place_of_birth ?
539	1237 1507 1160 997 97 1414 304	 what is the film_casting_director of TOPIC_ENTITY 's song 's song ?
